text,label
essential duties and responsibilities assist in developing the engineering cost estimate per job definition document develop the project schedule in alignment with the scope able to understand and comprehend the major process steps involved in the project understand standard project deliverables such as process flow diagramâpid area classification drawing electrical oneline drawing etc and major tasks involved in generating each deliverable assist in developing the project execution plan interface with the client and develop rapport monitor and track project budget and schedule perform budget and schedule variance analysis at set intervals during the project execution phase to help project leads and clients track the project progress investigate project cost and schedule variances effective communication skills  with the client and interdiscipline personnel within the company perform earned manhours calculations to estimate the real progress of the project follow and implement standard project procedures per project procedure manual soft skills to interact with multidiscipline technical staff and promote team spirit to execute the project successfully generate project reports weekly work plans etc generate design change orders for applicability to cost and schedule control both with respect to original scope and fees assist in project closeout with project leads,1
the field engineering team at databricks is in charge of leading the adoption of apache spark and databricks cloud â our team engages with the developer community to train and evangelize spark meets with customers to suggest solutions that they can build with the technology and sees customers through implementing and troubleshooting production systems â every member of our team is expected to become an apache spark expert and to be excellent at interacting with spark usersapache spark is one of the fastest growing open source technologies out there and we are looking for an evangelist to support the existing community and grow it even faster â you will have responsibility for engaging the community by organizing developer events and promoting our technology through social media channels you will also help collect and convey feedback from our community to internal product teams and engineers you must believe in our technology and understand what makes it uniqueresponsibilitiesengage with conferences meetups and other eventspromote through social media channelstrack community contributorsspeakersinfluencerssummarize feedback for product teams and engineeringcreate and extend demo appshelp develop videowritten resources,0
we provide no credit check financing to customers of small and medium size businesses and can help 90 of the industries from auto mechanics to dentists and lawyerswe are seeking skilled account managers to grow with us and help us achieve our goals in this new and exciting industrythis is designed as a longterm position for an entrepreneurial individual to really build their book of business along with their incomeour people enjoy a flexible work environment high earnings with great incentives like corporate retreats and quick advancement opportunities,1
we have the demand we are looking for people that are quick learners and are very efficient to handle the demand we have the best mortgage protection program in the business and we have serious demand nationwide especially in the 703202301 area after all we are in a market where 95 of all americans if they added up all the insurances that they hold would not have enough to cover their mortgage can you imagine a product that everybody needs not just wants and all you have to do is meet with people that have already requested our service no cold calling or door knocking we are looking for someone that is very professional and is able to learn quickly because you cant make six figures in a year by moving slowly we will train you in every aspect of the business and will show you how to personally produce a monthly commission of at least 700010000 we have the tools and we are looking to bring on someone that we can groom into management you will learn this business and eventually we plan to teach you how to build a strong staff that you will train to move product the same way that you do this combination should easily push you into a yearly compensation of 150k within your first 3 years in the business if you move at a steady pace industry experience is not necessary but a track record of success is our company mails out over 15 million letters each week and our homeowners fill out a questionnaire and mail back the request for coverage to us we simply call that exclusive lead and set up an appointment with them we meet the customer in their home and go over what type of mortgage protection the homeowner needs and then write up the policy we also market and promote fixed indexed annuities that solve most of the baby boomers retirement issues we have many full time agents making over 6 and 7 figure incomes we are primarily looking for those that desire to move into management though if you are looking for part time or full time warm sales please send your resume as well we have a serious demand all over the 703202301 area that consistently outweighs our number of agents typically our employees make 30k part time 75100k full time 100k management though we design a specific plan to make sure you hit whatever compensation you seriously desire and are willing to work for what we are looking for  a passion to honestly help families  positive attitude with a strong desire to become wealthy  a person who can follow a step by step selling system what we are not looking for someone who isnt accountable to their word someone who says they are a great salesman but doesnt have a penny to their name someone who has had a recent foreclosure or bankruptcy you cant get licensed in those cases we need you and you need us contact us with your resume preferred or call the hiring managerâ with your information for possible interviewââ â â compensation 30k part time 75100k full time 100k management,1
shapeways is a fastgrowing global startup with the goal of making 3d printing more accessible and affordable everything we make is custom tailored to our customers wishes want to help deliver excellence to our growing community youll be the one making sure that every customer order is printed to perfectionposition summarywe are looking for a whipsmart agile financial accountant to join our growing finance team at shapeways the financial accountant will focus on the large volume of transactional accounting that our business generates daily our goal is to provide a high level of service to the company ensuring that the people who rely on us our colleagues our suppliers our business partners our directors have access to timely accurate information about our business everything we do is geared towards making sure that the finance department runs efficiently and that the books and records of the corporation are accurate the department is fast nimble and adaptable to a growing changing environment where new challenges present themselves on a regular basisresponsibilitiesassist with all payables and refund processing as requiredfinancial statement preparation and analysiscorporate credit card accounting and ownership of programgeneral ledger accountinggeneral ledger system design and implementationshopowner markup reporting and paymentsbudget to actual variance analysisfixed asset accountingsales taxcash reconciliationsaccrual analysis and preparationpayroll accountingmulticurrency accounting,0
dyson demonstrators work parttime as members of the field sales team to engage consumers in an energetic and confident manner and provide them with knowledgeable information about dyson products in select retail locations ie costco bed bath andbeyond and best buy or events across the united states the most important part of a demonstratorsâ job is to create a positive experience with the store and the consumers assisting in the sale of dyson products to achieve company specified sales goals demonstrations occur on saturdays sundays and some weekday holidays demonstrators must work a minimum of 3 out of 4 weekends per month within an assigned marketâ we are in need of bilingual english amp spanish demonstratorspay 2000hrâ duties and responsibilities ââ conduct planned demonstrations in assigned retail stores to achieve specified sales goalsââ capture consumersâ attention to participate in high energy captivating instore demonstrations and model all aspects of dysonâs brand culture and passion for technologyââ be a credible product and brand expert by educating consumers on the benefits and features of dyson products and actively listening to consumers to confidently recommend appropriate dyson products and comfortably over objectionsââ increase overall awareness and sales of dyson products through in store and event demonstrationsââ actively monitor dysonâs online reporting system to contribute quality feedback and reportconfirm attendance,1
if you have a passion for people and love to sell over the telephone this roles is for youâ overview  are you focused on achieving goals and enjoying its rewards  are you outgoing and love talking on the phone  do you like to achieve high goals and get rewarded for your achievements  do you have a fabulous telephone voice  do you want to grow with a fast moving company  can you work morning shifts from 830am  1230pm  or afternoon shits from 2pm â 5pm â,0
viva services the largest online services company in greece offering innovative services in the areas of travel ticketing telecoms insurance and more is expanding its business in greece and internationally and is seeking a highly qualified professional to man the â infrastructure amp operationsâ departmentâ the ideal candidate shouldmanage and monitor all installed systems and infrastructureinstall configure test and maintain operating systems application software and system management toolsproactively ensure the highest levels of systems and infrastructure availabilitymonitor and test application performance for potential bottlenecks identify possible solutions and work with developers to implement those fixesmaintain security backup and redundancy strategieswrite and maintain custom scripts to increase system efficiency and lower the human intervention time on any tasksparticipate in the design of information and operational support systemsprovide 2nd and 3rd level supportliaise with vendors and other it personnel for problem resolution,0
why choose aecom imagine working for a truly global company whose 45000 employees share a singular passion to make the world a better place we enjoy what we do at aecom we bring projects to life in the cities and communities in which we work and weâre driven by a set of values and a common purpose â to create enhance and sustain the worldâs built natural and social environments innovation is built into every project we manage and every community we serve weâll provide you support in an environment that allows you to grow and succeed come share your passion with usabout the business line building engineeringwe deliver creative solutions for building projects for industry government commercial and leisure sectors our building engineering specialists have expertise in structural and building services engineering fire engineering acoustics facades and seismic design we embed sustainability principles in every designjob summary aecoms network of talented professionals is creating a center of excellence that will support the planning design and construction oversight of facilities related to the industrial agribusiness market sector as the successful candidate your role will involveâ perform all project documentation with tasks with high efficiency utilizing computer aided design tools revit and autocad in accordance with project guidelines and under the direction of the project engineerâ deliver complete and accurate project design assignments within schedule parameters schedule and budgetâ responsible for designanalysis documentation and interdisciplinary coordination of assigned projectsâ perform construction administration tasks including shop drawing review change order preparation and field problem resolutionâ interact and communicate effectively and professionally with other team membersâ assist in the training and development of discipline staff as directedâ experienced in the design of steel framed industrial and commercial buildings to include detailing of structural connections,1
execute all visual design stages from concept to final handoff to engineeringconceptualize original ideas that bring simplicity and user friendliness to complex design roadblockscreate wireframes storyboards user flows process flows and site maps to effectively communicate interaction and design ideaspresent and defend designs and key milestone deliverables to peers and executive level stakeholdersestablish and promote design guidelines best practices and standards,0
